t0, t, x, y, z, qx, qy, qz, qw
171.083,0,0.02115,-0.211908,1.63683,-0.25308,0.0769425,0.141625,-0.953925
171.092,0.009,0.0211481,-0.211892,1.63681,-0.253092,0.0766853,0.141449,-0.953969
171.1,0.017,0.0211378,-0.211889,1.63684,-0.252606,0.0769408,0.141126,-0.954125
171.108,0.025,0.0211344,-0.211887,1.63687,-0.251829,0.0767404,0.140836,-0.954389
171.117,0.034,0.0211324,-0.211888,1.63692,-0.251887,0.0767428,0.140611,-0.954407
171.125,0.042,0.0211289,-0.211877,1.63691,-0.251307,0.0767416,0.140377,-0.954594
171.133,0.05,0.0211305,-0.211869,1.63694,-0.25178,0.077549,0.140093,-0.954446
171.142,0.059,0.0211313,-0.21186,1.63696,-0.251279,0.0772195,0.139706,-0.954661
171.15,0.067,0.0211214,-0.211804,1.63703,-0.252355,0.0770352,0.139315,-0.95445
171.158,0.075,0.0211048,-0.211738,1.63713,-0.253093,0.0767331,0.138762,-0.954359
171.167,0.084,0.0210664,-0.211571,1.63719,-0.255436,0.0753243,0.138367,-0.953905
171.175,0.092,0.0210892,-0.211018,1.63606,-0.235063,0.0812455,0.133295,-0.959363
171.183,0.1,0.0209999,-0.210725,1.63639,-0.249804,0.0740669,0.133904,-0.956129
171.192,0.109,0.0209003,-0.210192,1.63663,-0.261056,0.0716512,0.133177,-0.953404
171.2,0.117,0.0206401,-0.209537,1.63718,-0.301194,0.0741538,0.133175,-0.941301
171.208,0.125,0.0203634,-0.208431,1.63845,-0.279299,0.0609159,0.127824,-0.949706
171.217,0.134,0.0200432,-0.207073,1.63839,-0.277135,0.0665494,0.121033,-0.950851
171.225,0.142,0.0194985,-0.205994,1.63934,-0.316668,0.06864,0.117055,-0.93878
171.233,0.15,0.0190073,-0.204541,1.63963,-0.298833,0.0628006,0.106589,-0.946253
171.242,0.159,0.0182402,-0.202792,1.63856,-0.279233,0.0599724,0.0936992,-0.953757
171.25,0.167,0.0171436,-0.201486,1.63932,-0.291663,0.0466257,0.0856069,-0.951541
171.258,0.175,0.0162062,-0.199568,1.63911,-0.280891,0.039505,0.0741231,-0.956057
171.267,0.184,0.015395,-0.197317,1.63864,-0.274726,0.0335939,0.0644385,-0.958773
171.275,0.192,0.0145797,-0.194752,1.63816,-0.273232,0.0288742,0.0560778,-0.959878
171.283,0.2,0.0138135,-0.192157,1.63858,-0.295978,0.0289258,0.0517886,-0.953351
171.292,0.209,0.013462,-0.188619,1.63802,-0.287269,0.0246827,0.04799,-0.956328
171.3,0.217,0.0134228,-0.18456,1.63827,-0.273932,0.0164897,0.0471744,-0.96045
171.308,0.225,0.0132573,-0.181048,1.63877,-0.284737,0.0167707,0.0471739,-0.957297
171.317,0.234,0.0135814,-0.177332,1.63789,-0.275786,0.0141304,0.042853,-0.960159
171.325,0.242,0.0141356,-0.173762,1.63781,-0.286686,0.012062,0.0430837,-0.956979
171.333,0.25,0.0150145,-0.169866,1.63877,-0.272685,0.00878542,0.0412754,-0.961177
171.342,0.259,0.0158139,-0.165832,1.63753,-0.279118,0.0143055,0.041334,-0.95926
171.35,0.267,0.0170784,-0.161767,1.6376,-0.274476,0.01413,0.0416663,-0.960587
171.358,0.275,0.0182622,-0.158122,1.6375,-0.294176,0.021172,0.0423698,-0.954577
171.367,0.284,0.0196755,-0.154161,1.6357,-0.300944,0.0276872,0.0421107,-0.952309
171.375,0.292,0.0214788,-0.15035,1.63667,-0.291535,0.0269501,0.0418939,-0.955262
171.383,0.3,0.0229578,-0.146922,1.63554,-0.317321,0.0414083,0.0419733,-0.946484
171.392,0.309,0.0246252,-0.143309,1.63451,-0.314514,0.0511978,0.0411423,-0.946978
171.4,0.317,0.0262617,-0.140353,1.63309,-0.331961,0.0575351,0.041608,-0.940617
171.408,0.325,0.0280097,-0.137478,1.63314,-0.336934,0.0727591,0.0390595,-0.9379
171.417,0.334,0.0295065,-0.135235,1.63228,-0.358504,0.0677047,0.0426203,-0.930094
171.425,0.342,0.0312043,-0.13318,1.63316,-0.343406,0.0716433,0.0411452,-0.935546
171.433,0.35,0.0332605,-0.131585,1.63388,-0.382227,0.0830341,0.0408128,-0.919425
171.442,0.359,0.0340743,-0.130227,1.63235,-0.352968,0.0789365,0.042327,-0.931338
171.45,0.367,0.0352602,-0.129107,1.62955,-0.353538,0.0897506,0.0415549,-0.930177
171.458,0.375,0.0372563,-0.128755,1.63287,-0.389793,0.103762,0.0407641,-0.91413
171.467,0.384,0.0388069,-0.128908,1.63501,-0.395747,0.0853329,0.0484974,-0.9131
171.475,0.392,0.0397331,-0.128975,1.63327,-0.391537,0.107442,0.0448254,-0.912768
171.483,0.4,0.0400141,-0.12946,1.62984,-0.368529,0.0888649,0.0541285,-0.923775
171.492,0.409,0.0414933,-0.13042,1.63237,-0.3529,0.110678,0.0525843,-0.927603
171.5,0.417,0.0425453,-0.132465,1.63437,-0.39295,0.112978,0.0555243,-0.910903
171.508,0.425,0.0428104,-0.134024,1.63244,-0.351976,0.113641,0.0621384,-0.927005
171.517,0.434,0.0431623,-0.13681,1.63268,-0.35354,0.11583,0.0657548,-0.925888
171.525,0.442,0.043858,-0.139932,1.63593,-0.343699,0.130457,0.0673484,-0.927532
171.533,0.45,0.0433131,-0.143408,1.63431,-0.351009,0.122233,0.0766031,-0.925194
