t0, t, x, y, z, qx, qy, qz, qw
1128.7,0,-0.209495,0.359628,1.50578,0.302652,0.134795,0.934991,0.126589
1128.71,0.01,-0.20981,0.359801,1.50543,0.301614,0.133963,0.935864,0.123457
1128.72,0.02,-0.210152,0.359961,1.5052,0.301961,0.133355,0.936182,0.120824
1128.72,0.02,-0.210492,0.360074,1.505,0.303253,0.132646,0.936126,0.11879
1128.73,0.03,-0.210771,0.360074,1.50471,0.304222,0.132638,0.935959,0.117633
1128.74,0.04,-0.211029,0.359996,1.50446,0.305711,0.132362,0.935607,0.116879
1128.75,0.05,-0.211268,0.359851,1.50423,0.307667,0.131661,0.935096,0.116629
1128.76,0.06,-0.211497,0.359641,1.50396,0.309812,0.130708,0.934461,0.117114
1128.77,0.07,-0.211789,0.359358,1.50361,0.312468,0.129061,0.933635,0.118457
1128.78,0.08,-0.212083,0.358987,1.50313,0.315726,0.126892,0.932546,0.120724
1128.78,0.08,-0.212374,0.358572,1.50283,0.31746,0.126317,0.931498,0.1248
1128.79,0.09,-0.212672,0.358085,1.50258,0.318856,0.124114,0.930684,0.129437
1128.8,0.1,-0.21291,0.357563,1.50235,0.321851,0.120968,0.929406,0.134101
1128.81,0.11,-0.213064,0.356986,1.50224,0.324181,0.119984,0.927874,0.139857
1128.82,0.12,-0.213183,0.356386,1.5021,0.327086,0.116153,0.926696,0.144076
1128.83,0.13,-0.213286,0.355773,1.50209,0.329102,0.113691,0.925543,0.148784
1128.83,0.13,-0.213384,0.355184,1.50223,0.33136,0.110917,0.924372,0.153085
1128.84,0.14,-0.213445,0.354565,1.5022,0.333379,0.107496,0.923396,0.156979
1128.85,0.15,-0.213495,0.353991,1.50217,0.3355,0.104152,0.922427,0.160377
1128.86,0.16,-0.213504,0.353493,1.5021,0.33796,0.102149,0.92119,0.163577
1128.87,0.17,-0.213485,0.353083,1.50211,0.33966,0.10134,0.920008,0.167174
1128.88,0.18,-0.213379,0.352773,1.50205,0.341695,0.100895,0.918766,0.170097
1128.88,0.18,-0.213207,0.352585,1.50192,0.343781,0.100565,0.917662,0.172041
1128.89,0.19,-0.212969,0.35254,1.50188,0.344813,0.100426,0.917139,0.172845
