Time[s],Time[s],PressValue,PPhase,AcceX,AcceY,AcceZ,Phase
41.698,0,0.67707,1,-0.235409,-0.289133,1.011966,1
41.716,0.018,0.190574,1,0.000977,-0.193651,1.283395,1
41.734,0.036,0.143199,1,0.240293,-0.233455,1.262637,1
41.75,0.052,0.114042,1,0.080952,-0.509646,1.180953,1
41.768,0.07,0.144493,1,-0.305617,-1.087546,0.92613,1
41.786,0.088,0.134139,1,-0.553114,-1.487179,0.7116,1
41.8,0.102,0.134237,1,-0.245177,-1.264713,0.731868,1
41.816,0.118,0.124444,1,0.133577,-0.784738,0.592918,1
41.832,0.134,0.103053,1,-0.139316,-1.14652,0.746887,1
41.848,0.15,0.100391,1,0.100733,-0.655555,0.607693,1
41.864,0.166,0.08547,1,0.01453,-0.586202,0.545177,1
41.878,0.18,0.099072,1,-0.052626,-0.581074,0.524054,1
41.894,0.196,0.099707,1,-0.058974,-0.411111,0.430037,1
41.912,0.214,0.107766,1,-0.105739,-0.333333,0.388645,1
41.928,0.23,0.114701,1,-0.098535,-0.352503,0.401099,1
41.946,0.248,0.119243,1,-0.063981,-0.251038,0.367644,1
41.962,0.264,0.106178,1,-0.060562,-0.240659,0.373627,1
41.978,0.28,0.095287,1,-0.095727,-0.2442,0.393895,1
41.994,0.296,0.096459,1,-0.087668,-0.080586,0.359952,1
42.01,0.312,0.112186,1,-0.071673,0.050672,0.347986,1
42.024,0.326,0.120659,1,-0.069475,-0.034554,0.451527,1
42.042,0.344,0.130061,1,-0.054579,-0.116728,0.596704,1
42.058,0.36,0.092112,1,-0.093773,-0.105494,0.701221,1
42.074,0.376,0.09663,1,-0.169719,-0.108547,0.801831,1
42.092,0.394,0.102149,1,-0.256533,-0.08315,0.88022,1
42.108,0.41,0.106276,1,-0.338095,0.09768,0.874847,1
42.124,0.426,0.100952,1,-0.457265,0.460928,0.793407,1
42.138,0.44,0.237289,1,-0.641514,-0.238461,0.906105,1
42.156,0.458,0.781758,1,1.576679,-1.803785,2.289744,1
42.172,0.474,0.764322,1,-0.635653,-0.172527,1.102808,1
42.188,0.49,0.751087,1,0.184859,-0.632478,0.926862,1
42.204,0.506,0.765006,1,-0.651526,-0.487546,0.714408,1
42.22,0.522,0.794701,1,-0.19011,-0.370574,0.8779,1
42.236,0.538,0.810476,0,-0.139927,-0.392918,0.904396,1
42.252,0.554,0.829817,0,-0.101709,-0.399634,0.892552,1
42.268,0.57,0.852772,0,-0.115873,-0.397802,0.911111,1
42.284,0.586,0.875653,0,-0.086691,-0.38376,0.932112,1
42.3,0.602,0.883028,0,-0.095116,-0.405983,0.917827,1
42.316,0.618,0.884274,0,-0.165324,-0.390964,0.909524,1
42.334,0.636,0.882466,0,-0.181808,-0.397314,0.889499,1
42.348,0.65,0.878632,0,-0.183761,-0.379365,0.888035,1
42.366,0.668,0.873309,0,-0.116362,-0.404884,0.895116,1
42.382,0.684,0.8621,0,-0.119781,-0.397314,0.897436,1
42.4,0.702,0.850208,0,-0.092064,-0.407326,0.894018,1
42.416,0.718,0.8463,0,-0.126252,-0.400122,0.89475,1
42.432,0.734,0.838803,0,-0.120269,-0.404273,0.891942,1
42.448,0.75,0.83348,0,-0.118193,-0.393895,0.887058,1
42.464,0.766,0.834212,0,-0.1221,-0.395482,0.889133,1
42.48,0.782,0.828303,0,-0.135531,-0.393407,0.89475,1
42.496,0.798,0.83094,0,-0.100244,-0.404274,0.895971,1
42.512,0.814,0.829475,0,-0.092674,-0.401343,0.898046,1
42.528,0.83,0.831795,0,-0.112821,-0.403419,0.892552,1
42.544,0.846,0.836679,0,-0.137363,-0.40232,0.888889,1
42.56,0.862,0.841807,0,-0.149817,-0.391453,0.886813,1
42.576,0.878,0.842637,0,-0.137119,-0.38547,0.885471,1
42.592,0.894,0.841539,0,-0.152381,-0.385836,0.893285,1
42.608,0.91,0.837485,0,-0.131013,-0.401099,0.894872,1
42.624,0.926,0.831184,0,-0.127717,-0.402075,0.896704,1
42.64,0.942,0.82525,0,-0.143712,-0.399023,0.890598,1
42.658,0.96,0.812381,0,-0.165934,-0.377533,0.89243,1
42.674,0.976,0.775556,1,-0.19768,-0.340659,0.928571,1
