Time[s],Switch
7.260,07.400,0
7.400,0
7.400,0
7.420,0
7.420,0
7.440,0
7.440,0
7.460,0
7.460,0
7.460,0
7.480,0
7.480,0
7.500,0
7.500,0
7.500,0
7.520,0
7.520,0
7.540,0
7.540,0
7.540,0
7.560,0
7.560,0
7.580,0
7.580,0
7.580,0
7.600,0
7.600,0
7.620,0
7.620,0
7.620,0
7.640,0
7.640,0
7.660,0
7.660,0
7.680,0
7.680,0
7.680,0
7.700,0
7.700,0
7.720,0
7.720,0
7.740,0
7.740,0
7.740,0
7.760,0
7.760,0
7.780,0
7.780,0
7.800,0
7.800,0
7.820,0
7.820,0
7.840,0
7.840,0
7.840,0
7.860,0
7.860,0
7.880,0
7.880,0
7.900,0
7.900,0
7.900,0
7.920,0
7.920,0
7.940,0
7.940,0
7.960,0
7.960,0
7.980,0
7.980,0
7.980,0
8.000,0
8.000,0
8.020,0
8.020,0
8.040,0
8.040,0
8.040,0
8.060,0
8.060,0
8.080,0
8.080,0
8.080,0
8.100,0
8.100,0
8.120,0
8.120,0
8.140,0
8.140,0
8.140,0
8.160,0
8.160,0
8.180,0
8.180,0
8.180,0
8.200,0
8.200,0
8.220,0
8.220,0
8.240,0
8.240,0
8.240,0
8.260,0
8.260,0
8.280,0
8.280,0
8.280,0
8.300,0
8.300,0
8.320,0
8.320,0
8.340,0
8.340,0
8.340,0
8.360,0
8.360,0
8.380,0
8.380,0
8.380,0
8.400,0
8.400,0
8.420,0
8.420,0
8.440,0
8.440,0
8.440,0
8.460,0
8.460,0
8.480,0
8.480,0
8.480,0
8.500,0
8.500,0
8.520,0
8.520,0
8.540,0
8.540,0
8.540,0
8.560,0
8.560,0
8.580,0
8.580,0
8.580,0
8.600,0
8.600,0
8.620,0
8.620,0
8.640,0
8.640,0
8.640,0
8.660,0
8.660,0
8.680,0
8.680,0
8.680,0
8.700,0
8.700,0
8.720,0
8.720,0
8.740,0
8.740,0
8.740,0
8.760,0
8.760,0
8.780,0
8.780,0
8.780,0
8.800,0
8.800,0
8.820,0
8.820,0
8.820,0
8.840,0
8.840,0
8.860,0
8.860,0
8.880,0
8.880,0
8.880,0
8.900,0
8.900,0
8.920,0
8.920,0
8.920,0
8.940,0
8.940,0
8.960,0
8.960,0
8.980,0
8.980,0
8.980,0
9.000,0
9.000,0
9.020,0
9.020,0
9.020,0
9.040,0
9.040,0
9.060,0
9.060,0
9.060,0
9.080,0
9.080,0
9.100,0
9.100,0
9.100,0
9.120,0
9.120,0
9.140,0
9.140,0
9.140,0
9.160,0
9.160,0
9.180,0
9.180,0
9.180,0
9.200,0
9.200,0
9.220,0
9.220,0
9.220,0
9.240,0
9.240,0
9.260,0
9.260,0
9.280,0
9.280,0
9.280,0
9.300,0
9.300,0
9.300,0
9.320,0
9.320,0
9.340,0
9.340,0
9.340,0
9.360,0
9.360,0
9.380,0
9.380,0
9.400,0
9.400,0
9.400,0
9.420,0
9.420,0
9.440,0
9.440,0
9.440,0
9.460,0
9.460,0
9.480,0
9.480,0
9.480,0
9.500,0
9.500,0
9.500,0
9.520,0
9.520,0
9.540,0
9.540,0
9.540,0
9.560,0
9.560,0
9.580,0
9.580,0
9.580,0
9.600,0
9.600,0
9.620,0
9.620,0
9.640,0
9.640,0
9.640,0
9.660,0
9.660,0
9.680,0
9.680,0
9.700,0
9.700,0
9.700,0
9.720,0
9.720,0
9.740,0
9.740,0
9.740,0
9.760,0
9.760,0
9.780,0
9.780,0
9.780,0
9.800,0
9.800,0
9.820,0
9.820,0
9.840,0
9.840,0
9.840,0
9.860,0
9.860,0
9.880,0
9.880,0
9.880,0
9.900,0
9.900,0
9.920,0
9.920,0
9.940,0
9.940,0
9.940,0
9.960,0
9.960,0
9.980,0
9.980,0
9.980,0
10.000,0
10.000,0
10.020,0
10.020,0
10.040,0
10.040,0
10.040,0
10.060,0
10.060,0
10.080,0
10.080,0
10.080,0
10.100,0
10.100,0
10.120,0
10.120,0
10.140,0
10.140,0
10.140,0
10.160,0
10.160,0
10.180,0
10.180,0
10.200,0
10.200,0
10.220,0
10.220,0
10.220,0
10.240,0
10.240,0
10.260,0
10.260,0
10.280,0
10.280,0
10.300,0
10.300,0
10.320,0
10.320,0
10.320,0
10.340,0
10.340,0
10.360,0
10.360,0
10.380,0
10.380,0
10.400,0
10.400,0
10.400,0
10.420,0
10.420,0
10.440,0
10.440,0
10.460,0
10.460,0
10.480,0
10.480,0
10.500,0
10.500,0
10.520,0
10.520,0
10.520,0
10.540,0
10.540,0
10.560,0
10.560,0
10.580,0
10.580,0
10.600,0
10.600,0
10.620,0
10.620,0
10.640,0
10.640,0
10.660,0
10.660,0
10.680,0
10.680,0
10.680,0
10.700,0
10.700,0
10.720,0
10.720,0
10.740,0
10.740,0
10.740,0
10.760,0
10.760,0
10.780,0
10.780,0
10.780,0
10.800,0
10.800,0
10.820,0
10.820,0
10.840,0
10.840,0
10.840,0
10.860,0
10.860,0
10.880,0
10.880,0
10.880,0
10.900,0
10.900,0
10.920,0
10.920,0
10.940,0
10.940,0
10.940,0
10.960,0
10.960,0
10.980,0
10.980,0
11.000,0
11.000,0
11.000,0
11.020,0
11.020,0
11.040,0
11.040,0
11.040,0
11.060,0
11.060,0
11.080,0
11.080,0
11.080,0
11.100,0
11.100,0
11.120,0
11.120,0
11.140,0
11.140,1
11.140,1
11.160,1
11.160,1
11.180,1
11.180,1
11.180,1
11.200,1
11.200,1
11.220,1
11.220,1
11.240,1
11.240,1
11.240,1
11.260,1
11.260,1
11.280,1
11.280,1
11.280,1
11.300,1
11.300,1
11.320,1
11.320,1
11.340,1
11.340,1
11.340,1
11.360,1
11.360,0
11.380,0
11.380,0
11.400,0
11.400,0
11.420,0
11.420,0
11.420,0
11.440,0
11.440,0
11.460,0
11.460,0
11.480,0
11.480,0
11.500,0
11.500,0
11.500,0
11.520,0
11.520,0
11.540,0
11.540,0
11.540,0
11.560,0
11.560,0
11.580,0
11.580,0
11.580,0
11.600,0
11.600,0
11.620,0
11.620,0
11.640,0
11.640,0
11.660,0
11.660,0
11.660,0
11.680,0
11.680,0
11.700,0
11.700,0
11.720,0
11.720,0
11.720,0
11.740,0
11.740,0
11.760,0
11.760,0
11.780,0
11.780,1
11.800,1
11.800,1
11.820,1
11.820,1
11.820,1
11.840,1
11.840,1
11.860,1
11.860,1
11.880,1
11.880,0
11.900,0
11.900,0
11.900,0
11.920,0
11.920,0
11.940,0
11.940,0
11.960,0
11.960,0
11.980,0
11.980,0
12.000,0
12.000,0
12.020,0
12.020,0
12.020,0
12.040,0
12.040,0
12.060,0
12.060,0
12.080,0
12.080,0
12.100,0
12.100,0
12.100,0
12.120,0
12.120,0
12.140,0
12.140,0
12.140,0
12.160,0
12.160,0
12.180,0
12.180,0
